Movie;U1;U2;U3;U4;U5;U6;U7;U8;U9;U10;U11;U12;U13;U14;U15;U16;U17;U18;U19;U20;U21;U22;U23;U24;U25;U26;U27;U28;U29;U30;U31;U32;U33;U34;U35;U36;U37;U38;U39;U40;U41;U42;U43;U44;U45;U46;U47;U48;U49;U50;U51;U52;U53;U54;U55;U56;U57;U58
Dark Knight. The;4;2.5;2.5;3;3;5;4.5;3;4.5;4.5;4;3.5;3.8611;4;3.8611;4.5;3.5;4;3.8611;5;3.5;3.5;5;3.8611;3.8611;4;4.5;3;4.5;3.5;3.8611;3.5;3;3.8611;5;3.5;4;5;4.5;3.8611;3.8611;3.8611;3.8611;3.8611;3.8611;3.8611;3;3;3.8611;3.8611;3.8611;3.8611;3.8611;3;3.8611;3.8611;3.8611;5
Lord of the Rings: The Return of the King. The;3.5;3;0;3.5;3.8646;4;2.5;5;3.5;4;4.5;4;5;3;5;4.5;4;5;2.5;5;5;4;5;3;3.8646;2.5;4;3.5;2.5;3.8646;4;4.5;5;5;3;5;3.8646;3.8646;5;5;3.8646;4;3.8646;3.8646;4;4;3.5;4.5;1;4;4.5;3;5;3.8646;3.8646;3;3.5;4
Bourne Ultimatum. The;3.5;3.6875;2.5;4.5;3.5;3;2.5;3.5;4.5;3;4;5;3.6875;3.6875;5;3.6875;3;3;3.6875;3.5;2.5;2.5;3;4.5;3.6875;5;4;3.5;4.5;3.6875;2.5;3.5;4;4.5;4;3.6875;3.6875;3.6875;4;5;3.6875;3.5;3.6875;3.6875;3.5;4.5;3.5;4.5;4;2;3.6875;4.5;3.6875;2;3.6875;3.6875;3.6875;4.5
WALL·E;1.5;4.5;3.7903;3.7903;3.7903;2.5;4.5;4.5;3.5;4.5;5;3;3.7903;3;4.5;5;3;4.5;3.7903;3.5;3;3.7903;4.5;3.7903;3.7903;3.7903;3.7903;3.7903;4.5;4;1.5;3.7903;4;4;5;4.5;3.5;3.7903;3.7903;3.7903;3.7903;3;3.7903;3.7903;3.7903;3.7903;3.7903;4;3.7903;3.7903;3.7903;3.7903;3;5;5;2;3.7903;3.7903
Finding Nemo;2.5;3.5;3.5;3.5;3.8365;2;4.5;5;3.5;4.5;5;3;2.5;3.5;5;4.5;3;4.5;5;3;3;4.5;5;5;4;4;4.5;3.8365;3;5;3;2.5;3.5;3;4.5;4;1.5;5;3;4;4.5;3;4;3.8365;3;3;3.5;4;3.8365;3.8365;3.8365;5;4.5;5;5;4;4;3.5
Incredibles. The;2.5;3;4.5;3.4022;3.4022;3;4;4;3.4022;2.5;4.5;2.5;4;3;4.5;3.5;3;4.5;1.5;3.5;2.5;4.5;4.5;4.5;3.4022;3;4;4;3.4022;4;3.5;3;3.5;3.5;5;2.5;2.5;3.4022;1.5;5;3.4022;3.5;3.5;3.4022;3.4022;2;3.4022;3;2.5;3.4022;3.4022;3.5;0;4;4;3.5;4;4
Ratatouille;3.5;3.5;3;3.2941;3.2941;2;4.5;4.5;2.5;3;4.5;2.5;3.2941;3.5;4;3.2941;3.2941;2;3.2941;3.5;2.5;3.2941;3.2941;3.2941;3;3.2941;3.2941;3.2941;3;3.2941;3;3.2941;2;3.2941;5;4;4.5;3.2941;4.5;3.5;3.2941;3.5;4.5;3.2941;3.2941;3.2941;3.2941;2.5;2.5;3.2941;3.2941;3.5;0;4.5;3;4.5;3.2941;2
Monsters. Inc.;4;4.5;5;3.9043;3.9043;3.9043;4.5;4;4;1.5;4.5;4;4;3.5;5;4.5;3;5;3.9043;3.9043;5;4;5;4.5;5;3.5;3.5;3.9043;3.5;2;4;3;3;4;5;3;4.5;2;4;5;3.9043;3;4.5;3.9043;3.5;4;4.5;4;3.9043;3.9043;3;4.5;2.5;5;5;3;3.9043;2.5
Shrek;4;4.5;5;4.5;3;3.5;5;4.5;3.5;2;5;4;3.5;4.2807;5;5;4;5;5;4.5;5;4.5;5;4;4;4.5;4;4;3.5;5;4.5;3.5;4;4;5;4;4.5;5;4.5;5;4.5;4;4;4;4;5;4;3.5;3.5;3.5;3.5;5;5;5;5;4.5;3.5;4.5
Schindler's List;5;5;5;4.5286;4;4;4.5286;5;4;4;4.5286;4.5286;4.5286;4.5286;4.5286;5;4.5286;4.5286;4.5286;4.5286;4.5;4.5;5;4.5286;5;1.5;4.5286;4.5;4.5;4.5286;5;3.5;5;5;4.5;4.5286;4.5286;5;5;5;5;4.5;5;4.5286;4.5286;5;4.5;4.5;4.5;4.5;3;4.5;4.5286;4.5286;4.5286;4.5286;4.5286;5
