Dark Knight. The;Dark Knight. The;Lord of the Rings: The Return of the King. The;Lord of the Rings: The Return of the King. The;Bourne Ultimatum. The;Bourne Ultimatum. The;WALL·E;WALL·E;Finding Nemo;Finding Nemo;Incredibles. The;Incredibles. The;Ratatouille;Ratatouille;Monsters. Inc.;Monsters. Inc.;Shrek;Shrek;Schindler's List;Schindler's List;There's Something About Mary;There's Something About Mary;Pirates of the Caribbean: The Curse of the Black Pearl;Pirates of the Caribbean: The Curse of the Black Pearl;Other Side of the Bed. The;Other Side of the Bed. The;Pulp Fiction;Pulp Fiction;Sin City;Sin City;Bowling for Columbine;Bowling for Columbine;Super Size Me;Super Size Me;City of God;City of God;Pan's Labyrinth;Pan's Labyrinth;Star Wars: Episode III - Revenge of the Sith;Star Wars: Episode III - Revenge of the Sith;Fantastic Four;Fantastic Four;Exorcist: The Beginning;Exorcist: The Beginning;Seven;Seven;Game. The;Game. The;Pretty Woman;Pretty Woman;Matrix. The;Matrix. The;Terminator 2: Judgment Day;Terminator 2: Judgment Day;X-Men;X-Men;Sixth Sense. The;Sixth Sense. The;Mission: Impossible III;Mission: Impossible III;300;300;Troy;Troy;Transformers;Transformers;No Country for Old Men;No Country for Old Men;Sea Inside. The;Sea Inside. The;Pianist. The;Pianist. The;Million Dollar Baby;Million Dollar Baby;Orphanage. The;Orphanage. The;Titanic;Titanic;Silence of the Lambs. The;Silence of the Lambs. The;Brokeback Mountain;Brokeback Mountain;[Rec];[Rec];Volver;Volver;Sweeney Todd: The Demon Barber of Fleet Street;Sweeney Todd: The Demon Barber of Fleet Street;Changeling;Changeling;English Patient. The;English Patient. The;Hotel Rwanda;Hotel Rwanda;High School Musical;High School Musical;Fahrenheit 9/11;Fahrenheit 9/11;Mamma Mia!;Mamma Mia!
10.000 B.C.;0.667;Chronicles of Narnia: Prince Caspian. The;0.816;Quantum of Solace;0.866;Forgetting Sarah Marshall;0.632;Indiana Jones and the Kingdom of the Crystal Skull;0.667;Indiana Jones and the Kingdom of the Crystal Skull;0.866;Kung Fu Panda;0.667;Kung Fu Panda;0.667;Forgetting Sarah Marshall;0.632;10.000 B.C.;0.408;Forgetting Sarah Marshall;1;HellBoy II: The Golden Army;0.894;Forgetting Sarah Marshall;0.707;Burn After Reading;0.816;Quantum of Solace;0.577;Incredible Hulk. The;0;Incredible Hulk. The;0;10.000 B.C.;0.667;Jumper;0.577;HellBoy II: The Golden Army;0.894;HellBoy II: The Golden Army;0.894;Jumper;0.577;Burn After Reading;0.354;Quantum of Solace;0.667;Forgetting Sarah Marshall;1;Incredible Hulk. The;0.667;Incredible Hulk. The;0.816;HellBoy II: The Golden Army;0.775;Jumper;0.577;Quantum of Solace;1;Incredible Hulk. The;0.667;10.000 B.C.;0.866;Quantum of Solace;0.866;Jumper;0.577;10.000 B.C.;0.577;10.000 B.C.;0.408;10.000 B.C.;0.577;Jumper;0.447;Forgetting Sarah Marshall;0.5;Burn After Reading;0.408;Forgetting Sarah Marshall;0.5;Quantum of Solace;0.408;Get Smart;0.707;Jumper;0.5;Burn After Reading;0.408;Forgetting Sarah Marshall;0.408;10.000 B.C.;0.408;Forgetting Sarah Marshall;0.707;Incredible Hulk. The;0;Forgetting Sarah Marshall;0.816
Burn After Reading;0.408;HellBoy II: The Golden Army;0.775;Indiana Jones and the Kingdom of the Crystal Skull;0.577;Sex and the City;0.632;Kung Fu Panda;0.667;Kung Fu Panda;0.866;Get Smart;0.577;Get Smart;0.577;Sex and the City;0.632;Tropic Thunder;0.354;Sex and the City;1;Indiana Jones and the Kingdom of the Crystal Skull;0.866;Sex and the City;0.707;Get Smart;0.577;Burn After Reading;0.354;Indiana Jones and the Kingdom of the Crystal Skull;0;Indiana Jones and the Kingdom of the Crystal Skull;0;Burn After Reading;0.408;Chronicles of Narnia: Prince Caspian. The;0.408;Incredible Hulk. The;0.866;Incredible Hulk. The;0.866;Quantum of Solace;0.333;Quantum of Solace;0.289;Jumper;0.577;Sex and the City;1;Quantum of Solace;0.667;HellBoy II: The Golden Army;0.632;Incredible Hulk. The;0.667;Quantum of Solace;0.333;Indiana Jones and the Kingdom of the Crystal Skull;0.667;Tropic Thunder;0.577;Tropic Thunder;0.75;Jumper;0.75;Burn After Reading;0.408;Jumper;0.5;Tropic Thunder;0.354;Jumper;0.5;Burn After Reading;0.316;Sex and the City;0.5;Quantum of Solace;0.333;Sex and the City;0.5;Jumper;0.354;Be Kind Rewind;0.707;Quantum of Solace;0.289;10.000 B.C.;0.333;Sex and the City;0.408;Tropic Thunder;0.354;Sex and the City;0.707;Indiana Jones and the Kingdom of the Crystal Skull;0;Sex and the City;0.816
Incredible Hulk. The;0.333;Incredible Hulk. The;0.667;10.000 B.C.;0.577;HellBoy II: The Golden Army;0.6;Get Smart;0.577;Tropic Thunder;0.75;Be Kind Rewind;0.577;Be Kind Rewind;0.577;Chronicles of Narnia: Prince Caspian. The;0.632;Jumper;0.354;Get Smart;0.707;Tropic Thunder;0.75;Get Smart;0.5;Be Kind Rewind;0.577;Incredible Hulk. The;0.289;Kung Fu Panda;0;Kung Fu Panda;0;Incredible Hulk. The;0.333;Incredible Hulk. The;0.333;Chronicles of Narnia: Prince Caspian. The;0.707;Chronicles of Narnia: Prince Caspian. The;0.707;10.000 B.C.;0.333;Jumper;0.25;Chronicles of Narnia: Prince Caspian. The;0.408;Get Smart;0.707;Jumper;0.577;Indiana Jones and the Kingdom of the Crystal Skull;0.408;Indiana Jones and the Kingdom of the Crystal Skull;0.667;10.000 B.C.;0.333;10.000 B.C.;0.667;HellBoy II: The Golden Army;0.516;Indiana Jones and the Kingdom of the Crystal Skull;0.577;HellBoy II: The Golden Army;0.671;Quantum of Solace;0.333;Incredible Hulk. The;0;Jumper;0.354;Incredible Hulk. The;0;Quantum of Solace;0.258;10.000 B.C.;0.408;Jumper;0.289;10.000 B.C.;0.408;Incredible Hulk. The;0;You Don't Mess with the Zohan;0.707;10.000 B.C.;0.289;Jumper;0.289;10.000 B.C.;0.333;Jumper;0.354;Get Smart;0.5;Kung Fu Panda;0;Get Smart;0.577
Indiana Jones and the Kingdom of the Crystal Skull;0.333;Indiana Jones and the Kingdom of the Crystal Skull;0.667;Tropic Thunder;0.5;Indiana Jones and the Kingdom of the Crystal Skull;0.516;Tropic Thunder;0.577;HellBoy II: The Golden Army;0.671;You Don't Mess with the Zohan;0.577;You Don't Mess with the Zohan;0.577;HellBoy II: The Golden Army;0.6;Incredible Hulk. The;0;Be Kind Rewind;0.707;Chronicles of Narnia: Prince Caspian. The;0.707;Be Kind Rewind;0.5;You Don't Mess with the Zohan;0.577;Indiana Jones and the Kingdom of the Crystal Skull;0.289;Forgetting Sarah Marshall;0;Forgetting Sarah Marshall;0;Indiana Jones and the Kingdom of the Crystal Skull;0.333;Quantum of Solace;0.333;Indiana Jones and the Kingdom of the Crystal Skull;0.577;Indiana Jones and the Kingdom of the Crystal Skull;0.577;Incredible Hulk. The;0;Incredible Hulk. The;0;Indiana Jones and the Kingdom of the Crystal Skull;0.333;Be Kind Rewind;0.707;HellBoy II: The Golden Army;0.516;Kung Fu Panda;0.408;Quantum of Solace;0.667;Incredible Hulk. The;0;Tropic Thunder;0.577;Chronicles of Narnia: Prince Caspian. The;0.408;Quantum of Solace;0.577;Incredible Hulk. The;0.577;10.000 B.C.;0.333;Indiana Jones and the Kingdom of the Crystal Skull;0;Incredible Hulk. The;0;Indiana Jones and the Kingdom of the Crystal Skull;0;10.000 B.C.;0.258;Jumper;0.354;Incredible Hulk. The;0;Jumper;0.354;Indiana Jones and the Kingdom of the Crystal Skull;0;Forgetting Sarah Marshall;0.5;Incredible Hulk. The;0;Incredible Hulk. The;0;Tropic Thunder;0.289;Incredible Hulk. The;0;Be Kind Rewind;0.5;Forgetting Sarah Marshall;0;Be Kind Rewind;0.577
Kung Fu Panda;0.333;Quantum of Solace;0.667;Jumper;0.5;Kung Fu Panda;0.516;Be Kind Rewind;0.577;Quantum of Solace;0.577;HellBoy II: The Golden Army;0.516;HellBoy II: The Golden Army;0.516;Indiana Jones and the Kingdom of the Crystal Skull;0.516;Indiana Jones and the Kingdom of the Crystal Skull;0;You Don't Mess with the Zohan;0.707;Incredible Hulk. The;0.577;You Don't Mess with the Zohan;0.5;Forgetting Sarah Marshall;0.408;Kung Fu Panda;0.289;Burn After Reading;0;Burn After Reading;0;Kung Fu Panda;0.333;10.000 B.C.;0.333;Quantum of Solace;0.577;Quantum of Solace;0.577;Indiana Jones and the Kingdom of the Crystal Skull;0;Indiana Jones and the Kingdom of the Crystal Skull;0;10.000 B.C.;0.333;You Don't Mess with the Zohan;0.707;Indiana Jones and the Kingdom of the Crystal Skull;0.333;Quantum of Solace;0.408;10.000 B.C.;0.667;Indiana Jones and the Kingdom of the Crystal Skull;0;Jumper;0.577;Indiana Jones and the Kingdom of the Crystal Skull;0.333;Jumper;0.5;Indiana Jones and the Kingdom of the Crystal Skull;0.577;Incredible Hulk. The;0;Kung Fu Panda;0;Indiana Jones and the Kingdom of the Crystal Skull;0;Kung Fu Panda;0;Incredible Hulk. The;0;Incredible Hulk. The;0;Indiana Jones and the Kingdom of the Crystal Skull;0;Incredible Hulk. The;0;Kung Fu Panda;0;Burn After Reading;0.5;Indiana Jones and the Kingdom of the Crystal Skull;0;Indiana Jones and the Kingdom of the Crystal Skull;0;Jumper;0.289;Indiana Jones and the Kingdom of the Crystal Skull;0;You Don't Mess with the Zohan;0.5;Burn After Reading;0;You Don't Mess with the Zohan;0.577
Quantum of Solace;0.333;10.000 B.C.;0.667;HellBoy II: The Golden Army;0.447;Get Smart;0.447;You Don't Mess with the Zohan;0.577;10.000 B.C.;0.577;Forgetting Sarah Marshall;0.408;Forgetting Sarah Marshall;0.408;Kung Fu Panda;0.516;Kung Fu Panda;0;Burn After Reading;0.5;Kung Fu Panda;0.577;Burn After Reading;0.354;Sex and the City;0.408;10.000 B.C.;0.289;Quantum of Solace;0;Quantum of Solace;0;Quantum of Solace;0.333;HellBoy II: The Golden Army;0.258;10.000 B.C.;0.577;10.000 B.C.;0.577;Kung Fu Panda;0;Kung Fu Panda;0;Tropic Thunder;0.289;Burn After Reading;0.5;Kung Fu Panda;0.333;10.000 B.C.;0.408;Tropic Thunder;0.577;Kung Fu Panda;0;HellBoy II: The Golden Army;0.516;Kung Fu Panda;0.333;HellBoy II: The Golden Army;0.447;10.000 B.C.;0.577;Indiana Jones and the Kingdom of the Crystal Skull;0;Forgetting Sarah Marshall;0;Kung Fu Panda;0;Forgetting Sarah Marshall;0;Indiana Jones and the Kingdom of the Crystal Skull;0;Indiana Jones and the Kingdom of the Crystal Skull;0;Kung Fu Panda;0;Indiana Jones and the Kingdom of the Crystal Skull;0;Forgetting Sarah Marshall;0;Sex and the City;0.5;Kung Fu Panda;0;Kung Fu Panda;0;Incredible Hulk. The;0;Kung Fu Panda;0;Burn After Reading;0.354;Quantum of Solace;0;Burn After Reading;0.408
Tropic Thunder;0.289;Tropic Thunder;0.577;Chronicles of Narnia: Prince Caspian. The;0.354;Tropic Thunder;0.447;HellBoy II: The Golden Army;0.516;Get Smart;0.5;Burn After Reading;0.408;Burn After Reading;0.408;Get Smart;0.447;Forgetting Sarah Marshall;0;Indiana Jones and the Kingdom of the Crystal Skull;0.408;Quantum of Solace;0.577;Indiana Jones and the Kingdom of the Crystal Skull;0.289;Indiana Jones and the Kingdom of the Crystal Skull;0.333;Tropic Thunder;0.25;Get Smart;0;Get Smart;0;Tropic Thunder;0.289;Indiana Jones and the Kingdom of the Crystal Skull;0;Tropic Thunder;0.5;Tropic Thunder;0.5;Forgetting Sarah Marshall;0;Forgetting Sarah Marshall;0;HellBoy II: The Golden Army;0.258;Indiana Jones and the Kingdom of the Crystal Skull;0.408;10.000 B.C.;0.333;Tropic Thunder;0.354;Jumper;0.577;Forgetting Sarah Marshall;0;Chronicles of Narnia: Prince Caspian. The;0.408;Quantum of Solace;0.333;Chronicles of Narnia: Prince Caspian. The;0.354;Tropic Thunder;0.5;Kung Fu Panda;0;Burn After Reading;0;Forgetting Sarah Marshall;0;Burn After Reading;0;Kung Fu Panda;0;Kung Fu Panda;0;Forgetting Sarah Marshall;0;Kung Fu Panda;0;Burn After Reading;0;Indiana Jones and the Kingdom of the Crystal Skull;0.408;Forgetting Sarah Marshall;0;Forgetting Sarah Marshall;0;Indiana Jones and the Kingdom of the Crystal Skull;0;Forgetting Sarah Marshall;0;Indiana Jones and the Kingdom of the Crystal Skull;0.289;Get Smart;0;Indiana Jones and the Kingdom of the Crystal Skull;0.333
Jumper;0.289;Kung Fu Panda;0.333;Incredible Hulk. The;0.289;Jumper;0.447;Forgetting Sarah Marshall;0.408;Be Kind Rewind;0.5;Sex and the City;0.408;Sex and the City;0.408;Tropic Thunder;0.447;Burn After Reading;0;Kung Fu Panda;0.408;10.000 B.C.;0.577;Kung Fu Panda;0.289;Kung Fu Panda;0.333;Jumper;0.25;10.000 B.C.;0;10.000 B.C.;0;Jumper;0.289;Kung Fu Panda;0;Jumper;0.5;Jumper;0.5;Burn After Reading;0;Get Smart;0;Incredible Hulk. The;0;Kung Fu Panda;0.408;Tropic Thunder;0.289;Jumper;0.354;Chronicles of Narnia: Prince Caspian. The;0.408;Burn After Reading;0;Incredible Hulk. The;0.333;10.000 B.C.;0.333;Incredible Hulk. The;0.289;Chronicles of Narnia: Prince Caspian. The;0.354;Forgetting Sarah Marshall;0;Quantum of Solace;0;Burn After Reading;0;Quantum of Solace;0;Forgetting Sarah Marshall;0;Burn After Reading;0;Get Smart;0;Burn After Reading;0;Get Smart;0;Kung Fu Panda;0.408;Burn After Reading;0;Quantum of Solace;0;Kung Fu Panda;0;Burn After Reading;0;Kung Fu Panda;0.289;10.000 B.C.;0;Kung Fu Panda;0.333
HellBoy II: The Golden Army;0.258;Jumper;0.289;Kung Fu Panda;0.289;Be Kind Rewind;0.447;Burn After Reading;0.408;You Don't Mess with the Zohan;0.5;Chronicles of Narnia: Prince Caspian. The;0.408;Chronicles of Narnia: Prince Caspian. The;0.408;Be Kind Rewind;0.447;Quantum of Solace;0;Tropic Thunder;0.354;Get Smart;0.5;10.000 B.C.;0.289;10.000 B.C.;0.333;HellBoy II: The Golden Army;0.224;HellBoy II: The Golden Army;0;HellBoy II: The Golden Army;0;HellBoy II: The Golden Army;0.258;Forgetting Sarah Marshall;0;Kung Fu Panda;0.289;Kung Fu Panda;0.289;Get Smart;0;10.000 B.C.;0;Kung Fu Panda;0;Tropic Thunder;0.354;Forgetting Sarah Marshall;0;Forgetting Sarah Marshall;0;Kung Fu Panda;0.333;Get Smart;0;Kung Fu Panda;0.333;Forgetting Sarah Marshall;0;Kung Fu Panda;0.289;Kung Fu Panda;0.289;Get Smart;0;Get Smart;0;Quantum of Solace;0;Get Smart;0;Get Smart;0;Quantum of Solace;0;10.000 B.C.;0;Quantum of Solace;0;10.000 B.C.;0;10.000 B.C.;0.408;Get Smart;0;Get Smart;0;Burn After Reading;0;Quantum of Solace;0;10.000 B.C.;0.289;HellBoy II: The Golden Army;0;Tropic Thunder;0.289
Forgetting Sarah Marshall;0;Forgetting Sarah Marshall;0;Forgetting Sarah Marshall;0;You Don't Mess with the Zohan;0.447;Sex and the City;0.408;Forgetting Sarah Marshall;0.354;Incredible Hulk. The;0.333;Incredible Hulk. The;0.333;You Don't Mess with the Zohan;0.447;Get Smart;0;HellBoy II: The Golden Army;0.316;Be Kind Rewind;0.5;Tropic Thunder;0.25;Tropic Thunder;0.289;Forgetting Sarah Marshall;0;Tropic Thunder;0;Tropic Thunder;0;Forgetting Sarah Marshall;0;Burn After Reading;0;Forgetting Sarah Marshall;0;Forgetting Sarah Marshall;0;HellBoy II: The Golden Army;0;HellBoy II: The Golden Army;0;Forgetting Sarah Marshall;0;HellBoy II: The Golden Army;0.316;Burn After Reading;0;Burn After Reading;0;Forgetting Sarah Marshall;0;HellBoy II: The Golden Army;0;Forgetting Sarah Marshall;0;Burn After Reading;0;Forgetting Sarah Marshall;0;Forgetting Sarah Marshall;0;HellBoy II: The Golden Army;0;HellBoy II: The Golden Army;0;Get Smart;0;HellBoy II: The Golden Army;0;HellBoy II: The Golden Army;0;Get Smart;0;HellBoy II: The Golden Army;0;Get Smart;0;HellBoy II: The Golden Army;0;Tropic Thunder;0.354;HellBoy II: The Golden Army;0;HellBoy II: The Golden Army;0;Quantum of Solace;0;Get Smart;0;Tropic Thunder;0.25;Tropic Thunder;0;HellBoy II: The Golden Army;0.258
